"";"mun";"year";"age_group";"pop";"FXET"
"101";"110006";2019;"From 75 to 79 years";271;"16"
"102";"110006";2019;"From 80 years or more";284;"17"
"103";"110007";2019;"From 0 to 4 years";519;"01"
"104";"110007";2019;"From 10 to 14 years";489;"03"
"105";"110007";2019;"From 15 to 19 years";539;"04"
"106";"110007";2019;"From 20 to 24 years";631;"05"
"107";"110007";2019;"From 25 to 29 years";679;"06"
"108";"110007";2019;"From 30 to 34 years";600;"07"
"109";"110007";2019;"From 35 to 39 years";607;"08"
"110";"110007";2019;"From 40 to 44 years";589;"09"
"111";"110007";2019;"From 45 to 49 years";562;"10"
"112";"110007";2019;"From 5 to 9 years";502;"02"
"113";"110007";2019;"From 50 to 54 years";484;"11"
"114";"110007";2019;"From 55 to 59 years";361;"12"
"115";"110007";2019;"From 60 to 64 years";267;"13"
"116";"110007";2019;"From 65 to 69 years";214;"14"
"117";"110007";2019;"From 70 to 74 years";145;"15"
"118";"110007";2019;"From 75 to 79 years";105;"16"
"119";"110007";2019;"From 80 years or more";98;"17"
"120";"110008";2019;"From 0 to 4 years";1953;"01"
"121";"110008";2019;"From 10 to 14 years";1607;"03"
"122";"110008";2019;"From 15 to 19 years";1750;"04"
"123";"110008";2019;"From 20 to 24 years";1833;"05"
"124";"110008";2019;"From 25 to 29 years";1599;"06"
"125";"110008";2019;"From 30 to 34 years";1402;"07"
"126";"110008";2019;"From 35 to 39 years";1462;"08"
"127";"110008";2019;"From 40 to 44 years";1250;"09"
"128";"110008";2019;"From 45 to 49 years";1019;"10"
"129";"110008";2019;"From 5 to 9 years";1723;"02"
"130";"110008";2019;"From 50 to 54 years";839;"11"
"131";"110008";2019;"From 55 to 59 years";648;"12"
"132";"110008";2019;"From 60 to 64 years";480;"13"
"133";"110008";2019;"From 65 to 69 years";325;"14"
"134";"110008";2019;"From 70 to 74 years";208;"15"
"135";"110008";2019;"From 75 to 79 years";121;"16"
"136";"110008";2019;"From 80 years or more";112;"17"
"137";"110009";2019;"From 0 to 4 years";2562;"01"
"138";"110009";2019;"From 10 to 14 years";2535;"03"
"139";"110009";2019;"From 15 to 19 years";2636;"04"
"140";"110009";2019;"From 20 to 24 years";2749;"05"
"141";"110009";2019;"From 25 to 29 years";2703;"06"
"142";"110009";2019;"From 30 to 34 years";2692;"07"
"143";"110009";2019;"From 35 to 39 years";2621;"08"
"144";"110009";2019;"From 40 to 44 years";2422;"09"
"145";"110009";2019;"From 45 to 49 years";2140;"10"
