"";"mun";"year";"age_group";"pop";"FXET"
"2060";"130353";2019;"From 15 to 19 years";3561;"04"
"2061";"130353";2019;"From 20 to 24 years";3882;"05"
"2062";"130353";2019;"From 25 to 29 years";3125;"06"
"2063";"130353";2019;"From 30 to 34 years";2547;"07"
"2064";"130353";2019;"From 35 to 39 years";2464;"08"
"2065";"130353";2019;"From 40 to 44 years";2182;"09"
"2066";"130353";2019;"From 45 to 49 years";1853;"10"
"2067";"130353";2019;"From 5 to 9 years";3687;"02"
"2068";"130353";2019;"From 50 to 54 years";1640;"11"
"2069";"130353";2019;"From 55 to 59 years";1390;"12"
"2070";"130353";2019;"From 60 to 64 years";1093;"13"
"2071";"130353";2019;"From 65 to 69 years";763;"14"
"2072";"130353";2019;"From 70 to 74 years";430;"15"
"2073";"130353";2019;"From 75 to 79 years";249;"16"
"2074";"130353";2019;"From 80 years or more";187;"17"
"2075";"130356";2019;"From 0 to 4 years";3134;"01"
"2076";"130356";2019;"From 10 to 14 years";3034;"03"
"2077";"130356";2019;"From 15 to 19 years";3360;"04"
"2078";"130356";2019;"From 20 to 24 years";3474;"05"
"2079";"130356";2019;"From 25 to 29 years";2812;"06"
"2080";"130356";2019;"From 30 to 34 years";2689;"07"
"2081";"130356";2019;"From 35 to 39 years";2450;"08"
"2082";"130356";2019;"From 40 to 44 years";2155;"09"
"2083";"130356";2019;"From 45 to 49 years";1948;"10"
"2084";"130356";2019;"From 5 to 9 years";3056;"02"
"2085";"130356";2019;"From 50 to 54 years";1540;"11"
"2086";"130356";2019;"From 55 to 59 years";1121;"12"
"2087";"130356";2019;"From 60 to 64 years";918;"13"
"2088";"130356";2019;"From 65 to 69 years";672;"14"
"2089";"130356";2019;"From 70 to 74 years";444;"15"
"2090";"130356";2019;"From 75 to 79 years";297;"16"
"2091";"130356";2019;"From 80 years or more";243;"17"
"2092";"130360";2019;"From 0 to 4 years";3957;"01"
"2093";"130360";2019;"From 10 to 14 years";3354;"03"
"2094";"130360";2019;"From 15 to 19 years";2576;"04"
"2095";"130360";2019;"From 20 to 24 years";2249;"05"
"2096";"130360";2019;"From 25 to 29 years";1902;"06"
"2097";"130360";2019;"From 30 to 34 years";1703;"07"
"2098";"130360";2019;"From 35 to 39 years";1239;"08"
"2099";"130360";2019;"From 40 to 44 years";1067;"09"
"2100";"130360";2019;"From 45 to 49 years";890;"10"
"2101";"130360";2019;"From 5 to 9 years";3711;"02"
"2102";"130360";2019;"From 50 to 54 years";712;"11"
"2103";"130360";2019;"From 55 to 59 years";511;"12"
"2104";"130360";2019;"From 60 to 64 years";368;"13"
"2105";"130360";2019;"From 65 to 69 years";306;"14"
"2106";"130360";2019;"From 70 to 74 years";246;"15"
"2107";"130360";2019;"From 75 to 79 years";175;"16"
"2108";"130360";2019;"From 80 years or more";190;"17"
"2109";"130370";2019;"From 0 to 4 years";3018;"01"
"2110";"130370";2019;"From 10 to 14 years";2327;"03"
"2111";"130370";2019;"From 15 to 19 years";2099;"04"
"2112";"130370";2019;"From 20 to 24 years";2233;"05"
"2113";"130370";2019;"From 25 to 29 years";2006;"06"
"2114";"130370";2019;"From 30 to 34 years";1695;"07"
"2115";"130370";2019;"From 35 to 39 years";1384;"08"
"2116";"130370";2019;"From 40 to 44 years";1040;"09"
"2117";"130370";2019;"From 45 to 49 years";733;"10"
"2118";"130370";2019;"From 5 to 9 years";2779;"02"
"2119";"130370";2019;"From 50 to 54 years";604;"11"
"2120";"130370";2019;"From 55 to 59 years";496;"12"
"2121";"130370";2019;"From 60 to 64 years";357;"13"
"2122";"130370";2019;"From 65 to 69 years";323;"14"
"2123";"130370";2019;"From 70 to 74 years";201;"15"
"2124";"130370";2019;"From 75 to 79 years";137;"16"
"2125";"130370";2019;"From 80 years or more";170;"17"
"2126";"130380";2019;"From 0 to 4 years";5468;"01"
"2127";"130380";2019;"From 10 to 14 years";5061;"03"
"2128";"130380";2019;"From 15 to 19 years";4683;"04"
"2129";"130380";2019;"From 20 to 24 years";4490;"05"
"2130";"130380";2019;"From 25 to 29 years";3716;"06"
"2131";"130380";2019;"From 30 to 34 years";3079;"07"
"2132";"130380";2019;"From 35 to 39 years";2705;"08"
"2133";"130380";2019;"From 40 to 44 years";2422;"09"
"2134";"130380";2019;"From 45 to 49 years";1994;"10"
"2135";"130380";2019;"From 5 to 9 years";5312;"02"
"2136";"130380";2019;"From 50 to 54 years";1736;"11"
"2137";"130380";2019;"From 55 to 59 years";1419;"12"
"2138";"130380";2019;"From 60 to 64 years";1005;"13"
"2139";"130380";2019;"From 65 to 69 years";880;"14"
"2140";"130380";2019;"From 70 to 74 years";675;"15"
"2141";"130380";2019;"From 75 to 79 years";443;"16"
"2142";"130380";2019;"From 80 years or more";476;"17"
"2143";"130390";2019;"From 0 to 4 years";5119;"01"
"2144";"130390";2019;"From 10 to 14 years";4157;"03"
"2145";"130390";2019;"From 15 to 19 years";3909;"04"
"2146";"130390";2019;"From 20 to 24 years";3940;"05"
"2147";"130390";2019;"From 25 to 29 years";3405;"06"
"2148";"130390";2019;"From 30 to 34 years";2879;"07"
"2149";"130390";2019;"From 35 to 39 years";2502;"08"
"2150";"130390";2019;"From 40 to 44 years";1966;"09"
"2151";"130390";2019;"From 45 to 49 years";1565;"10"
"2152";"130390";2019;"From 5 to 9 years";4706;"02"
"2153";"130390";2019;"From 50 to 54 years";1488;"11"
"2154";"130390";2019;"From 55 to 59 years";1131;"12"
"2155";"130390";2019;"From 60 to 64 years";728;"13"
"2156";"130390";2019;"From 65 to 69 years";592;"14"
"2157";"130390";2019;"From 70 to 74 years";488;"15"
"2158";"130390";2019;"From 75 to 79 years";363;"16"
"2159";"130390";2019;"From 80 years or more";361;"17"
"2160";"130395";2019;"From 0 to 4 years";1717;"01"
"2161";"130395";2019;"From 10 to 14 years";1449;"03"
"2162";"130395";2019;"From 15 to 19 years";1465;"04"
"2163";"130395";2019;"From 20 to 24 years";1415;"05"
"2164";"130395";2019;"From 25 to 29 years";1207;"06"
"2165";"130395";2019;"From 30 to 34 years";1052;"07"
"2166";"130395";2019;"From 35 to 39 years";962;"08"
"2167";"130395";2019;"From 40 to 44 years";813;"09"
"2168";"130395";2019;"From 45 to 49 years";667;"10"
"2169";"130395";2019;"From 5 to 9 years";1591;"02"
"2170";"130395";2019;"From 50 to 54 years";543;"11"
"2171";"130395";2019;"From 55 to 59 years";384;"12"
"2172";"130395";2019;"From 60 to 64 years";282;"13"
"2173";"130395";2019;"From 65 to 69 years";200;"14"
"2174";"130395";2019;"From 70 to 74 years";128;"15"
"2175";"130395";2019;"From 75 to 79 years";77;"16"
"2176";"130395";2019;"From 80 years or more";68;"17"
"2177";"130400";2019;"From 0 to 4 years";1161;"01"
"2178";"130400";2019;"From 10 to 14 years";929;"03"
"2179";"130400";2019;"From 15 to 19 years";799;"04"
"2180";"130400";2019;"From 20 to 24 years";825;"05"
"2181";"130400";2019;"From 25 to 29 years";775;"06"
"2182";"130400";2019;"From 30 to 34 years";578;"07"
"2183";"130400";2019;"From 35 to 39 years";562;"08"
"2184";"130400";2019;"From 40 to 44 years";539;"09"
"2185";"130400";2019;"From 45 to 49 years";446;"10"
"2186";"130400";2019;"From 5 to 9 years";1086;"02"
"2187";"130400";2019;"From 50 to 54 years";374;"11"
"2188";"130400";2019;"From 55 to 59 years";331;"12"
"2189";"130400";2019;"From 60 to 64 years";266;"13"
"2190";"130400";2019;"From 65 to 69 years";193;"14"
"2191";"130400";2019;"From 70 to 74 years";126;"15"
"2192";"130400";2019;"From 75 to 79 years";86;"16"
"2193";"130400";2019;"From 80 years or more";95;"17"
"2194";"130406";2019;"From 0 to 4 years";8144;"01"
"2195";"130406";2019;"From 10 to 14 years";7433;"03"
"2196";"130406";2019;"From 15 to 19 years";6830;"04"
"2197";"130406";2019;"From 20 to 24 years";6196;"05"
"2198";"130406";2019;"From 25 to 29 years";5693;"06"
"2199";"130406";2019;"From 30 to 34 years";4998;"07"
"2200";"130406";2019;"From 35 to 39 years";4245;"08"
"2201";"130406";2019;"From 40 to 44 years";3575;"09"
"2202";"130406";2019;"From 45 to 49 years";2881;"10"
"2203";"130406";2019;"From 5 to 9 years";7694;"02"
"2204";"130406";2019;"From 50 to 54 years";2353;"11"
"2205";"130406";2019;"From 55 to 59 years";1873;"12"
"2206";"130406";2019;"From 60 to 64 years";1371;"13"
"2207";"130406";2019;"From 65 to 69 years";949;"14"
"2208";"130406";2019;"From 70 to 74 years";682;"15"
"2209";"130406";2019;"From 75 to 79 years";448;"16"
"2210";"130406";2019;"From 80 years or more";479;"17"
"2211";"130410";2019;"From 0 to 4 years";1971;"01"
"2212";"130410";2019;"From 10 to 14 years";1647;"03"
"2213";"130410";2019;"From 15 to 19 years";1620;"04"
"2214";"130410";2019;"From 20 to 24 years";1646;"05"
"2215";"130410";2019;"From 25 to 29 years";1571;"06"
"2216";"130410";2019;"From 30 to 34 years";1349;"07"
"2217";"130410";2019;"From 35 to 39 years";1201;"08"
"2218";"130410";2019;"From 40 to 44 years";943;"09"
"2219";"130410";2019;"From 45 to 49 years";704;"10"
"2220";"130410";2019;"From 5 to 9 years";1816;"02"
"2221";"130410";2019;"From 50 to 54 years";648;"11"
"2222";"130410";2019;"From 55 to 59 years";590;"12"
"2223";"130410";2019;"From 60 to 64 years";489;"13"
"2224";"130410";2019;"From 65 to 69 years";377;"14"
"2225";"130410";2019;"From 70 to 74 years";238;"15"
"2226";"130410";2019;"From 75 to 79 years";173;"16"
"2227";"130410";2019;"From 80 years or more";173;"17"
"2228";"130420";2019;"From 0 to 4 years";7232;"01"
"2229";"130420";2019;"From 10 to 14 years";6560;"03"
"2230";"130420";2019;"From 15 to 19 years";6064;"04"
"2231";"130420";2019;"From 20 to 24 years";5648;"05"
"2232";"130420";2019;"From 25 to 29 years";5077;"06"
"2233";"130420";2019;"From 30 to 34 years";4580;"07"
"2234";"130420";2019;"From 35 to 39 years";4039;"08"
"2235";"130420";2019;"From 40 to 44 years";3354;"09"
"2236";"130420";2019;"From 45 to 49 years";2554;"10"
"2237";"130420";2019;"From 5 to 9 years";6989;"02"
"2238";"130420";2019;"From 50 to 54 years";2045;"11"
"2239";"130420";2019;"From 55 to 59 years";1640;"12"
"2240";"130420";2019;"From 60 to 64 years";1260;"13"
"2241";"130420";2019;"From 65 to 69 years";1013;"14"
"2242";"130420";2019;"From 70 to 74 years";738;"15"
"2243";"130420";2019;"From 75 to 79 years";504;"16"
"2244";"130420";2019;"From 80 years or more";552;"17"
"2245";"130423";2019;"From 0 to 4 years";2614;"01"
"2246";"130423";2019;"From 10 to 14 years";2152;"03"
"2247";"130423";2019;"From 15 to 19 years";1908;"04"
"2248";"130423";2019;"From 20 to 24 years";1965;"05"
"2249";"130423";2019;"From 25 to 29 years";1770;"06"
"2250";"130423";2019;"From 30 to 34 years";1514;"07"
"2251";"130423";2019;"From 35 to 39 years";1087;"08"
"2252";"130423";2019;"From 40 to 44 years";829;"09"
"2253";"130423";2019;"From 45 to 49 years";662;"10"
"2254";"130423";2019;"From 5 to 9 years";2432;"02"
"2255";"130423";2019;"From 50 to 54 years";555;"11"
"2256";"130423";2019;"From 55 to 59 years";352;"12"
"2257";"130423";2019;"From 60 to 64 years";285;"13"
"2258";"130423";2019;"From 65 to 69 years";227;"14"
"2259";"130423";2019;"From 70 to 74 years";163;"15"
"2260";"130423";2019;"From 75 to 79 years";118;"16"
"2261";"130423";2019;"From 80 years or more";122;"17"
"2262";"130426";2019;"From 0 to 4 years";1937;"01"
"2263";"130426";2019;"From 10 to 14 years";1499;"03"
"2264";"130426";2019;"From 15 to 19 years";1402;"04"
"2265";"130426";2019;"From 20 to 24 years";1332;"05"
"2266";"130426";2019;"From 25 to 29 years";1160;"06"
"2267";"130426";2019;"From 30 to 34 years";950;"07"
"2268";"130426";2019;"From 35 to 39 years";863;"08"
"2269";"130426";2019;"From 40 to 44 years";714;"09"
"2270";"130426";2019;"From 45 to 49 years";514;"10"
"2271";"130426";2019;"From 5 to 9 years";1720;"02"
"2272";"130426";2019;"From 50 to 54 years";390;"11"
"2273";"130426";2019;"From 55 to 59 years";313;"12"
"2274";"130426";2019;"From 60 to 64 years";248;"13"
"2275";"130426";2019;"From 65 to 69 years";180;"14"
"2276";"130426";2019;"From 70 to 74 years";145;"15"
"2277";"130426";2019;"From 75 to 79 years";87;"16"
"2278";"130426";2019;"From 80 years or more";86;"17"
"2279";"130430";2019;"From 0 to 4 years";1935;"01"
"2280";"130430";2019;"From 10 to 14 years";1622;"03"
"2281";"130430";2019;"From 15 to 19 years";1482;"04"
"2282";"130430";2019;"From 20 to 24 years";1466;"05"
"2283";"130430";2019;"From 25 to 29 years";1325;"06"
"2284";"130430";2019;"From 30 to 34 years";1029;"07"
"2285";"130430";2019;"From 35 to 39 years";987;"08"
"2286";"130430";2019;"From 40 to 44 years";921;"09"
"2287";"130430";2019;"From 45 to 49 years";828;"10"
"2288";"130430";2019;"From 5 to 9 years";1864;"02"
"2289";"130430";2019;"From 50 to 54 years";724;"11"
"2290";"130430";2019;"From 55 to 59 years";588;"12"
"2291";"130430";2019;"From 60 to 64 years";440;"13"
"2292";"130430";2019;"From 65 to 69 years";374;"14"
"2293";"130430";2019;"From 70 to 74 years";267;"15"
"2294";"130430";2019;"From 75 to 79 years";198;"16"
"2295";"130430";2019;"From 80 years or more";206;"17"
"2296";"130440";2019;"From 0 to 4 years";2807;"01"
"2297";"130440";2019;"From 10 to 14 years";2292;"03"
"2298";"130440";2019;"From 15 to 19 years";2131;"04"
"2299";"130440";2019;"From 20 to 24 years";2257;"05"
"2300";"130440";2019;"From 25 to 29 years";2149;"06"
"2301";"130440";2019;"From 30 to 34 years";1864;"07"
"2302";"130440";2019;"From 35 to 39 years";1550;"08"
"2303";"130440";2019;"From 40 to 44 years";1252;"09"
"2304";"130440";2019;"From 45 to 49 years";975;"10"
"2305";"130440";2019;"From 5 to 9 years";2607;"02"
"2306";"130440";2019;"From 50 to 54 years";805;"11"
"2307";"130440";2019;"From 55 to 59 years";721;"12"
"2308";"130440";2019;"From 60 to 64 years";535;"13"
"2309";"130440";2019;"From 65 to 69 years";405;"14"
"2310";"130440";2019;"From 70 to 74 years";264;"15"
"2311";"130440";2019;"From 75 to 79 years";194;"16"
"2312";"130440";2019;"From 80 years or more";257;"17"
"2313";"140002";2019;"From 0 to 4 years";2060;"01"
"2314";"140002";2019;"From 10 to 14 years";1355;"03"
"2315";"140002";2019;"From 15 to 19 years";1256;"04"
"2316";"140002";2019;"From 20 to 24 years";1172;"05"
"2317";"140002";2019;"From 25 to 29 years";1030;"06"
"2318";"140002";2019;"From 30 to 34 years";861;"07"
"2319";"140002";2019;"From 35 to 39 years";768;"08"
"2320";"140002";2019;"From 40 to 44 years";648;"09"
"2321";"140002";2019;"From 45 to 49 years";543;"10"
"2322";"140002";2019;"From 5 to 9 years";1644;"02"
"2323";"140002";2019;"From 50 to 54 years";429;"11"
"2324";"140002";2019;"From 55 to 59 years";346;"12"
"2325";"140002";2019;"From 60 to 64 years";281;"13"
"2326";"140002";2019;"From 65 to 69 years";173;"14"
"2327";"140002";2019;"From 70 to 74 years";104;"15"
"2328";"140002";2019;"From 75 to 79 years";69;"16"
"2329";"140002";2019;"From 80 years or more";57;"17"
"2330";"140005";2019;"From 0 to 4 years";2034;"01"
"2331";"140005";2019;"From 10 to 14 years";1731;"03"
"2332";"140005";2019;"From 15 to 19 years";1326;"04"
"2333";"140005";2019;"From 20 to 24 years";1299;"05"
"2334";"140005";2019;"From 25 to 29 years";1209;"06"
"2335";"140005";2019;"From 30 to 34 years";990;"07"
"2336";"140005";2019;"From 35 to 39 years";914;"08"
"2337";"140005";2019;"From 40 to 44 years";756;"09"
"2338";"140005";2019;"From 45 to 49 years";685;"10"
"2339";"140005";2019;"From 5 to 9 years";2091;"02"
"2340";"140005";2019;"From 50 to 54 years";632;"11"
"2341";"140005";2019;"From 55 to 59 years";575;"12"
"2342";"140005";2019;"From 60 to 64 years";436;"13"
"2343";"140005";2019;"From 65 to 69 years";346;"14"
"2344";"140005";2019;"From 70 to 74 years";215;"15"
"2345";"140005";2019;"From 75 to 79 years";145;"16"
"2346";"140005";2019;"From 80 years or more";126;"17"
"2347";"140010";2019;"From 0 to 4 years";33436;"01"
"2348";"140010";2019;"From 10 to 14 years";33383;"03"
"2349";"140010";2019;"From 15 to 19 years";35341;"04"
"2350";"140010";2019;"From 20 to 24 years";39600;"05"
"2351";"140010";2019;"From 25 to 29 years";40651;"06"
"2352";"140010";2019;"From 30 to 34 years";39207;"07"
"2353";"140010";2019;"From 35 to 39 years";35773;"08"
"2354";"140010";2019;"From 40 to 44 years";28755;"09"
"2355";"140010";2019;"From 45 to 49 years";22201;"10"
"2356";"140010";2019;"From 5 to 9 years";32369;"02"
"2357";"140010";2019;"From 50 to 54 years";17593;"11"
"2358";"140010";2019;"From 55 to 59 years";13930;"12"
"2359";"140010";2019;"From 60 to 64 years";10224;"13"
"2360";"140010";2019;"From 65 to 69 years";7116;"14"
"2361";"140010";2019;"From 70 to 74 years";4510;"15"
"2362";"140010";2019;"From 75 to 79 years";2561;"16"
"2363";"140010";2019;"From 80 years or more";2563;"17"
"2364";"140015";2019;"From 0 to 4 years";1662;"01"
"2365";"140015";2019;"From 10 to 14 years";1225;"03"
"2366";"140015";2019;"From 15 to 19 years";1178;"04"
"2367";"140015";2019;"From 20 to 24 years";1225;"05"
"2368";"140015";2019;"From 25 to 29 years";1051;"06"
"2369";"140015";2019;"From 30 to 34 years";777;"07"
"2370";"140015";2019;"From 35 to 39 years";715;"08"
"2371";"140015";2019;"From 40 to 44 years";665;"09"
"2372";"140015";2019;"From 45 to 49 years";561;"10"
"2373";"140015";2019;"From 5 to 9 years";1449;"02"
"2374";"140015";2019;"From 50 to 54 years";467;"11"
"2375";"140015";2019;"From 55 to 59 years";397;"12"
"2376";"140015";2019;"From 60 to 64 years";394;"13"
"2377";"140015";2019;"From 65 to 69 years";276;"14"
"2378";"140015";2019;"From 70 to 74 years";161;"15"
"2379";"140015";2019;"From 75 to 79 years";111;"16"
"2380";"140015";2019;"From 80 years or more";95;"17"
"2381";"140017";2019;"From 0 to 4 years";2108;"01"
"2382";"140017";2019;"From 10 to 14 years";1579;"03"
"2383";"140017";2019;"From 15 to 19 years";1513;"04"
"2384";"140017";2019;"From 20 to 24 years";1669;"05"
"2385";"140017";2019;"From 25 to 29 years";1518;"06"
"2386";"140017";2019;"From 30 to 34 years";1255;"07"
"2387";"140017";2019;"From 35 to 39 years";1241;"08"
"2388";"140017";2019;"From 40 to 44 years";1125;"09"
"2389";"140017";2019;"From 45 to 49 years";1053;"10"
"2390";"140017";2019;"From 5 to 9 years";1914;"02"
"2391";"140017";2019;"From 50 to 54 years";934;"11"
"2392";"140017";2019;"From 55 to 59 years";786;"12"
"2393";"140017";2019;"From 60 to 64 years";594;"13"
"2394";"140017";2019;"From 65 to 69 years";454;"14"
"2395";"140017";2019;"From 70 to 74 years";306;"15"
"2396";"140017";2019;"From 75 to 79 years";157;"16"
"2397";"140017";2019;"From 80 years or more";129;"17"
"2398";"140020";2019;"From 0 to 4 years";2257;"01"
"2399";"140020";2019;"From 10 to 14 years";1893;"03"
"2400";"140020";2019;"From 15 to 19 years";1972;"04"
"2401";"140020";2019;"From 20 to 24 years";2203;"05"
"2402";"140020";2019;"From 25 to 29 years";2131;"06"
"2403";"140020";2019;"From 30 to 34 years";1804;"07"
"2404";"140020";2019;"From 35 to 39 years";1672;"08"
"2405";"140020";2019;"From 40 to 44 years";1414;"09"
"2406";"140020";2019;"From 45 to 49 years";1223;"10"
"2407";"140020";2019;"From 5 to 9 years";2103;"02"
"2408";"140020";2019;"From 50 to 54 years";933;"11"
"2409";"140020";2019;"From 55 to 59 years";821;"12"
"2410";"140020";2019;"From 60 to 64 years";583;"13"
"2411";"140020";2019;"From 65 to 69 years";393;"14"
"2412";"140020";2019;"From 70 to 74 years";253;"15"
"2413";"140020";2019;"From 75 to 79 years";152;"16"
"2414";"140020";2019;"From 80 years or more";119;"17"
"2415";"140023";2019;"From 0 to 4 years";1043;"01"
"2416";"140023";2019;"From 10 to 14 years";841;"03"
"2417";"140023";2019;"From 15 to 19 years";803;"04"
"2418";"140023";2019;"From 20 to 24 years";910;"05"
"2419";"140023";2019;"From 25 to 29 years";982;"06"
"2420";"140023";2019;"From 30 to 34 years";911;"07"
"2421";"140023";2019;"From 35 to 39 years";875;"08"
"2422";"140023";2019;"From 40 to 44 years";700;"09"
"2423";"140023";2019;"From 45 to 49 years";565;"10"
"2424";"140023";2019;"From 5 to 9 years";967;"02"
"2425";"140023";2019;"From 50 to 54 years";469;"11"
"2426";"140023";2019;"From 55 to 59 years";372;"12"
"2427";"140023";2019;"From 60 to 64 years";271;"13"
"2428";"140023";2019;"From 65 to 69 years";173;"14"
"2429";"140023";2019;"From 70 to 74 years";144;"15"
"2430";"140023";2019;"From 75 to 79 years";78;"16"
"2431";"140023";2019;"From 80 years or more";65;"17"
"2432";"140028";2019;"From 0 to 4 years";1252;"01"
"2433";"140028";2019;"From 10 to 14 years";1007;"03"
"2434";"140028";2019;"From 15 to 19 years";987;"04"
"2435";"140028";2019;"From 20 to 24 years";1151;"05"
"2436";"140028";2019;"From 25 to 29 years";1099;"06"
"2437";"140028";2019;"From 30 to 34 years";1025;"07"
"2438";"140028";2019;"From 35 to 39 years";1009;"08"
"2439";"140028";2019;"From 40 to 44 years";883;"09"
"2440";"140028";2019;"From 45 to 49 years";629;"10"
"2441";"140028";2019;"From 5 to 9 years";1145;"02"
"2442";"140028";2019;"From 50 to 54 years";569;"11"
"2443";"140028";2019;"From 55 to 59 years";408;"12"
"2444";"140028";2019;"From 60 to 64 years";307;"13"
"2445";"140028";2019;"From 65 to 69 years";208;"14"
"2446";"140028";2019;"From 70 to 74 years";132;"15"
"2447";"140028";2019;"From 75 to 79 years";78;"16"
"2448";"140028";2019;"From 80 years or more";61;"17"
"2449";"140030";2019;"From 0 to 4 years";1743;"01"
"2450";"140030";2019;"From 10 to 14 years";1485;"03"
"2451";"140030";2019;"From 15 to 19 years";1468;"04"
"2452";"140030";2019;"From 20 to 24 years";1650;"05"
"2453";"140030";2019;"From 25 to 29 years";1735;"06"
"2454";"140030";2019;"From 30 to 34 years";1540;"07"
"2455";"140030";2019;"From 35 to 39 years";1430;"08"
"2456";"140030";2019;"From 40 to 44 years";1212;"09"
"2457";"140030";2019;"From 45 to 49 years";993;"10"
"2458";"140030";2019;"From 5 to 9 years";1651;"02"
"2459";"140030";2019;"From 50 to 54 years";834;"11"
"2460";"140030";2019;"From 55 to 59 years";663;"12"
"2461";"140030";2019;"From 60 to 64 years";519;"13"
"2462";"140030";2019;"From 65 to 69 years";373;"14"
"2463";"140030";2019;"From 70 to 74 years";263;"15"
"2464";"140030";2019;"From 75 to 79 years";163;"16"
"2465";"140030";2019;"From 80 years or more";131;"17"
"2466";"140040";2019;"From 0 to 4 years";1773;"01"
"2467";"140040";2019;"From 10 to 14 years";1314;"03"
"2468";"140040";2019;"From 15 to 19 years";1185;"04"
"2469";"140040";2019;"From 20 to 24 years";1212;"05"
"2470";"140040";2019;"From 25 to 29 years";965;"06"
"2471";"140040";2019;"From 30 to 34 years";699;"07"
"2472";"140040";2019;"From 35 to 39 years";579;"08"
"2473";"140040";2019;"From 40 to 44 years";456;"09"
"2474";"140040";2019;"From 45 to 49 years";370;"10"
"2475";"140040";2019;"From 5 to 9 years";1576;"02"
"2476";"140040";2019;"From 50 to 54 years";313;"11"
"2477";"140040";2019;"From 55 to 59 years";232;"12"
"2478";"140040";2019;"From 60 to 64 years";189;"13"
"2479";"140040";2019;"From 65 to 69 years";160;"14"
"2480";"140040";2019;"From 70 to 74 years";121;"15"
"2481";"140040";2019;"From 75 to 79 years";66;"16"
"2482";"140040";2019;"From 80 years or more";80;"17"
"2483";"140045";2019;"From 0 to 4 years";2434;"01"
"2484";"140045";2019;"From 10 to 14 years";1729;"03"
"2485";"140045";2019;"From 15 to 19 years";1597;"04"
"2486";"140045";2019;"From 20 to 24 years";1776;"05"
"2487";"140045";2019;"From 25 to 29 years";1581;"06"
"2488";"140045";2019;"From 30 to 34 years";1185;"07"
"2489";"140045";2019;"From 35 to 39 years";1113;"08"
"2490";"140045";2019;"From 40 to 44 years";1003;"09"
"2491";"140045";2019;"From 45 to 49 years";803;"10"
"2492";"140045";2019;"From 5 to 9 years";2118;"02"
"2493";"140045";2019;"From 50 to 54 years";596;"11"
"2494";"140045";2019;"From 55 to 59 years";508;"12"
"2495";"140045";2019;"From 60 to 64 years";362;"13"
"2496";"140045";2019;"From 65 to 69 years";265;"14"
"2497";"140045";2019;"From 70 to 74 years";157;"15"
"2498";"140045";2019;"From 75 to 79 years";90;"16"
"2499";"140045";2019;"From 80 years or more";84;"17"
"2500";"140047";2019;"From 0 to 4 years";2682;"01"
"2501";"140047";2019;"From 10 to 14 years";2450;"03"
"2502";"140047";2019;"From 15 to 19 years";2684;"04"
"2503";"140047";2019;"From 20 to 24 years";3160;"05"
"2504";"140047";2019;"From 25 to 29 years";3239;"06"
"2505";"140047";2019;"From 30 to 34 years";3020;"07"
"2506";"140047";2019;"From 35 to 39 years";2695;"08"
"2507";"140047";2019;"From 40 to 44 years";1862;"09"
"2508";"140047";2019;"From 45 to 49 years";1464;"10"
"2509";"140047";2019;"From 5 to 9 years";2616;"02"
"2510";"140047";2019;"From 50 to 54 years";1233;"11"
"2511";"140047";2019;"From 55 to 59 years";1037;"12"
"2512";"140047";2019;"From 60 to 64 years";741;"13"
"2513";"140047";2019;"From 65 to 69 years";556;"14"
"2514";"140047";2019;"From 70 to 74 years";384;"15"
"2515";"140047";2019;"From 75 to 79 years";189;"16"
"2516";"140047";2019;"From 80 years or more";151;"17"
"2517";"140050";2019;"From 0 to 4 years";813;"01"
"2518";"140050";2019;"From 10 to 14 years";719;"03"
"2519";"140050";2019;"From 15 to 19 years";720;"04"
"2520";"140050";2019;"From 20 to 24 years";810;"05"
"2521";"140050";2019;"From 25 to 29 years";787;"06"
"2522";"140050";2019;"From 30 to 34 years";771;"07"
"2523";"140050";2019;"From 35 to 39 years";746;"08"
"2524";"140050";2019;"From 40 to 44 years";559;"09"
"2525";"140050";2019;"From 45 to 49 years";410;"10"
"2526";"140050";2019;"From 5 to 9 years";765;"02"
"2527";"140050";2019;"From 50 to 54 years";334;"11"
"2528";"140050";2019;"From 55 to 59 years";250;"12"
"2529";"140050";2019;"From 60 to 64 years";183;"13"
"2530";"140050";2019;"From 65 to 69 years";133;"14"
"2531";"140050";2019;"From 70 to 74 years";103;"15"
"2532";"140050";2019;"From 75 to 79 years";58;"16"
"2533";"140050";2019;"From 80 years or more";40;"17"
"2534";"140060";2019;"From 0 to 4 years";592;"01"
"2535";"140060";2019;"From 10 to 14 years";538;"03"
"2536";"140060";2019;"From 15 to 19 years";589;"04"
"2537";"140060";2019;"From 20 to 24 years";792;"05"
"2538";"140060";2019;"From 25 to 29 years";926;"06"
"2539";"140060";2019;"From 30 to 34 years";921;"07"
"2540";"140060";2019;"From 35 to 39 years";778;"08"
"2541";"140060";2019;"From 40 to 44 years";584;"09"
"2542";"140060";2019;"From 45 to 49 years";410;"10"
"2543";"140060";2019;"From 5 to 9 years";571;"02"
"2544";"140060";2019;"From 50 to 54 years";344;"11"
"2545";"140060";2019;"From 55 to 59 years";303;"12"
"2546";"140060";2019;"From 60 to 64 years";234;"13"
"2547";"140060";2019;"From 65 to 69 years";169;"14"
"2548";"140060";2019;"From 70 to 74 years";121;"15"
"2549";"140060";2019;"From 75 to 79 years";53;"16"
"2550";"140060";2019;"From 80 years or more";61;"17"
"2551";"140070";2019;"From 0 to 4 years";1911;"01"
